date,nifty100,nifty_midcap150,nifty_smallcap250,nifty500_value50,nifty100_quality30,nifty_midcap150_quality50,nifty_smallcap250_quality50,nifty200_momentum30,nifty_midcap150_momentum50
2016-12-31,-0.9902,-3.0385,-2.4255,-3.8168,-0.9004,-1.5982,-0.892,-3.5354,-3.3736
2017-01-31,5.3014,6.9567,8.0222,11.1693,1.7287,4.7584,7.4113,12.7272,10.1755
2017-02-28,4.0743,6.8821,6.5897,5.8022,4.127,5.6826,5.6377,3.592,7.4659
2017-03-31,3.4528,5.4827,5.7808,4.4742,2.0911,5.9211,5.8353,4.537,4.6913
2017-04-30,2.017,4.8719,7.1432,5.0632,-1.2307,2.9101,4.2091,5.2606,4.9148
2017-05-31,2.7213,-2.0272,-1.5352,-1.7527,3.6671,-0.2162,-2.8604,-0.3453,0.3788
2017-06-30,-0.4117,1.9735,1.3883,-2.3476,-0.537,2.2132,1.9196,-1.1628,2.3757
2017-07-31,6.1861,4.3385,4.5219,7.7007,2.7365,2.5936,3.3061,7.9454,5.2835
2017-08-31,-1.1565,0.1159,-1.5405,2.1151,-0.5047,-0.3934,-2.1136,3.8627,0.8503
2017-09-30,-1.3226,0.4082,-0.4714,-3.0602,-0.5449,1.1091,-0.1588,0.2832,1.8087
2017-10-31,5.9548,7.6919,9.9186,9.0304,4.8922,6.4134,8.8775,5.9625,8.3377
2017-11-30,-0.7787,3.0113,3.2233,-3.6504,0.3202,6.5382,3.0633,-1.9181,3.4715
2017-12-31,3.1405,5.9382,4.6693,5.9772,4.7856,7.2889,3.6653,6.4687,7.5712
2018-01-31,3.7496,-2.8682,-2.9242,-1.5695,2.479,-2.5497,-2.2961,-0.8769,-2.4319
2018-02-28,-4.5035,-3.9457,-3.5222,-6.1834,-3.6975,-2.9706,-1.4303,-3.3723,-4.9125
2018-03-31,-3.3568,-3.179,-7.3797,-8.8704,-1.7314,-0.1979,-4.3563,-1.592,-3.4939
2018-04-30,6.3747,7.3649,6.9204,3.4101,7.1364,4.7357,8.0093,8.2949,5.1115
2018-05-31,-0.5428,-5.7052,-6.1608,-5.186,-1.3864,-5.2481,-4.9659,-2.3309,-4.7517
2018-06-30,-0.4392,-3.7953,-7.9675,-7.2881,1.8029,-1.9154,-4.915,-0.4818,-2.7254
2018-07-31,6.0654,4.1263,3.0211,2.6999,5.4797,5.1479,3.7349,3.928,3.9877
2018-08-31,3.3288,5.6523,3.8423,3.4296,3.0247,3.6028,4.1395,5.4285,8.8494
2018-09-30,-7.2507,-12.9521,-16.5659,-11.5367,-10.4888,-9.6033,-12.3816,-8.2994,-11.759
2018-10-31,-4.6009,-1.0576,-1.4121,-1.6182,-2.6737,-2.3034,-2.6313,-5.7541,-5.2818
2018-11-30,4.6424,2.4434,1.4137,-1.8935,4.6922,1.5787,0.2165,5.0816,0.1975
2018-12-31,0.2151,2.3166,3.3184,6.4127,1.5214,2.5571,1.6191,-0.3945,0.4473
2019-01-31,-0.9777,-4.6344,-5.141,-5.2558,-1.8729,-3.7277,-4.2825,2.359,-2.3666
2019-02-28,-0.2026,-0.7722,-2.1879,-1.6684,1.3297,-0.0666,-1.8195,-0.4531,-0.6753
2019-03-31,7.6576,8.5409,10.84,13.3992,5.4773,6.2641,10.2543,4.9543,6.2501
2019-04-30,0.7242,-3.2287,-2.024,-0.8412,-1.568,-1.7048,-4.702,2.5764,-1.7793
2019-05-31,1.4176,2.4312,1.6472,-1.7566,0.5536,-0.4973,3.2005,-1.3393,0.2998
2019-06-30,-1.0036,-1.4136,-5.0183,-2.1678,-1.6042,-1.9642,-3.6693,-0.6019,0.3649
2019-07-31,-5.313,-8.736,-10.5542,-12.7557,-5.4294,-6.2982,-10.3714,-7.5719,-9.2378
2019-08-31,-0.3743,-0.8882,-2.0346,-7.8371,3.1616,0.7927,-3.1228,-0.679,0.4402
2019-09-30,4.1139,3.5694,4.6142,0.437,5.0284,7.4182,7.2019,5.6879,3.6449
2019-10-31,3.8155,4.9123,2.4243,6.1972,2.8555,5.5771,2.5519,2.4448,6.9924
2019-11-30,1.2306,1.989,0.9693,-0.6902,-2.4465,-1.1525,-1.5016,1.3268,1.4411
2019-12-31,0.7066,0.0035,0.5568,0.6351,0.6511,0.3536,0.356,2.0366,1.0896
2020-01-31,-1.4592,5.3819,7.0818,-4.0705,-0.7762,4.7632,8.6385,2.8424,7.8913
2020-02-29,-6.3278,-5.6329,-7.0133,-12.098,-4.9833,-4.9518,-4.6812,-2.8323,-2.6426
2020-03-31,-22.6361,-28.2316,-33.4197,-25.091,-17.7432,-21.7445,-29.1357,-19.0939,-24.5861
2020-04-30,14.6249,14.6076,12.9396,15.3542,11.5886,16.0773,14.2567,13.917,15.1974
2020-05-31,-2.3916,-1.8608,-2.1204,-1.248,-0.5364,-1.663,-2.6344,-3.1247,-3.3401
2020-06-30,7.4993,11.4497,14.9532,11.3275,5.4557,6.6068,12.1452,6.6745,9.9408
2020-07-31,7.2294,4.4279,6.3318,2.2107,7.2471,4.3935,7.1057,6.5838,5.5368
2020-08-31,2.5586,8.5199,12.0151,9.39,1.4484,6.9342,8.6626,0.8017,4.4628
2020-09-30,-0.9338,1.967,3.5834,-7.8157,2.1359,3.3278,6.3232,3.7306,5.4381
2020-10-31,3.3571,0.2103,-0.4762,0.7253,2.0361,-2.0327,-0.3502,-0.4922,-0.7067
2020-11-30,11.3919,14.906,12.7524,18.762,9.5611,12.5349,11.9049,5.7052,8.771
2020-12-31,7.745,5.4803,8.4244,9.8245,8.7259,5.5133,5.7312,7.5111,4.2009
